Date,Series,Value
2018-04-19,Volume Intensity,0
2018-04-20,Volume Intensity,0
2018-04-21,Volume Intensity,0
2018-04-22,Volume Intensity,0
2018-04-23,Volume Intensity,0
2018-04-24,Volume Intensity,0
2018-04-25,Volume Intensity,0
2018-04-26,Volume Intensity,0
2018-04-27,Volume Intensity,0
2018-04-28,Volume Intensity,0
2018-04-29,Volume Intensity,0.0006
2018-04-30,Volume Intensity,0
2018-05-01,Volume Intensity,0
2018-05-02,Volume Intensity,0
2018-05-03,Volume Intensity,0
2018-05-04,Volume Intensity,0
2018-05-05,Volume Intensity,0
2018-05-06,Volume Intensity,0
2018-05-07,Volume Intensity,0.0002
2018-05-08,Volume Intensity,0
2018-05-09,Volume Intensity,0
2018-05-10,Volume Intensity,0
2018-05-11,Volume Intensity,0.0005
2018-05-12,Volume Intensity,0
2018-05-13,Volume Intensity,0
2018-05-14,Volume Intensity,0.0003
2018-05-15,Volume Intensity,0.0002
2018-05-16,Volume Intensity,0
2018-05-17,Volume Intensity,0
2018-05-18,Volume Intensity,0
2018-05-19,Volume Intensity,0
2018-05-20,Volume Intensity,0
2018-05-21,Volume Intensity,0
2018-05-22,Volume Intensity,0
2018-05-23,Volume Intensity,0
2018-05-24,Volume Intensity,0
2018-05-25,Volume Intensity,0
2018-05-26,Volume Intensity,0
2018-05-27,Volume Intensity,0
2018-05-28,Volume Intensity,0
2018-05-29,Volume Intensity,0
2018-05-30,Volume Intensity,0
2018-05-31,Volume Intensity,0
2018-06-01,Volume Intensity,0
2018-06-02,Volume Intensity,0
2018-06-03,Volume Intensity,0
2018-06-04,Volume Intensity,0
2018-06-05,Volume Intensity,0
2018-06-06,Volume Intensity,0
2018-06-07,Volume Intensity,0
2018-06-08,Volume Intensity,0
2018-06-09,Volume Intensity,0
2018-06-10,Volume Intensity,0
2018-06-11,Volume Intensity,0.0002
2018-06-12,Volume Intensity,0
2018-06-13,Volume Intensity,0
2018-06-14,Volume Intensity,0.0001
2018-06-15,Volume Intensity,0
2018-06-16,Volume Intensity,0
2018-06-17,Volume Intensity,0
2018-06-18,Volume Intensity,0
2018-06-19,Volume Intensity,0
2018-06-20,Volume Intensity,0
2018-06-21,Volume Intensity,0
2018-06-22,Volume Intensity,0
2018-06-23,Volume Intensity,0
2018-06-24,Volume Intensity,0
2018-06-25,Volume Intensity,0
2018-06-26,Volume Intensity,0
2018-06-27,Volume Intensity,0
2018-06-28,Volume Intensity,0
2018-06-29,Volume Intensity,0
2018-06-30,Volume Intensity,0
2018-07-01,Volume Intensity,0
2018-07-02,Volume Intensity,0
2018-07-03,Volume Intensity,0
2018-07-04,Volume Intensity,0
2018-07-05,Volume Intensity,0
2018-07-06,Volume Intensity,0
2018-07-07,Volume Intensity,0
2018-07-08,Volume Intensity,0
2018-07-09,Volume Intensity,0
2018-07-10,Volume Intensity,0
2018-07-11,Volume Intensity,0
2018-07-12,Volume Intensity,0
2018-07-13,Volume Intensity,0
2018-07-14,Volume Intensity,0
2018-07-15,Volume Intensity,0
2018-07-16,Volume Intensity,0
2018-07-17,Volume Intensity,0
2018-07-18,Volume Intensity,0
2018-07-19,Volume Intensity,0
2018-07-20,Volume Intensity,0
2018-07-21,Volume Intensity,0.0003
2018-07-22,Volume Intensity,0
2018-07-23,Volume Intensity,0
2018-07-24,Volume Intensity,0
2018-07-25,Volume Intensity,0
2018-07-26,Volume Intensity,0
2018-07-27,Volume Intensity,0
2018-07-28,Volume Intensity,0
2018-07-29,Volume Intensity,0
2018-07-30,Volume Intensity,0
2018-07-31,Volume Intensity,0
2018-08-01,Volume Intensity,0
2018-08-02,Volume Intensity,0
2018-08-03,Volume Intensity,0
2018-08-04,Volume Intensity,0
2018-08-05,Volume Intensity,0
2018-08-06,Volume Intensity,0
2018-08-07,Volume Intensity,0
2018-08-08,Volume Intensity,0
2018-08-09,Volume Intensity,0
2018-08-10,Volume Intensity,0
2018-08-11,Volume Intensity,0
2018-08-12,Volume Intensity,0
2018-08-13,Volume Intensity,0
2018-08-14,Volume Intensity,0
2018-08-15,Volume Intensity,0
2018-08-16,Volume Intensity,0
2018-08-17,Volume Intensity,0
2018-08-18,Volume Intensity,0
2018-08-19,Volume Intensity,0
2018-08-20,Volume Intensity,0
2018-08-21,Volume Intensity,0
2018-08-22,Volume Intensity,0.0002
2018-08-23,Volume Intensity,0
2018-08-24,Volume Intensity,0
2018-08-25,Volume Intensity,0
2018-08-26,Volume Intensity,0
2018-08-27,Volume Intensity,0.0002
2018-08-28,Volume Intensity,0
2018-08-29,Volume Intensity,0
2018-08-30,Volume Intensity,0
2018-08-31,Volume Intensity,0
2018-09-01,Volume Intensity,0.0005
2018-09-02,Volume Intensity,0
2018-09-03,Volume Intensity,0
2018-09-04,Volume Intensity,0
2018-09-05,Volume Intensity,0
2018-09-06,Volume Intensity,0
2018-09-07,Volume Intensity,0
2018-09-08,Volume Intensity,0
2018-09-09,Volume Intensity,0
2018-09-10,Volume Intensity,0
2018-09-11,Volume Intensity,0
2018-09-12,Volume Intensity,0
2018-09-13,Volume Intensity,0
2018-09-14,Volume Intensity,0
2018-09-15,Volume Intensity,0
2018-09-16,Volume Intensity,0
2018-09-17,Volume Intensity,0
2018-09-18,Volume Intensity,0
2018-09-19,Volume Intensity,0
2018-09-20,Volume Intensity,0
2018-09-21,Volume Intensity,0
2018-09-22,Volume Intensity,0
2018-09-23,Volume Intensity,0
2018-09-24,Volume Intensity,0
2018-09-25,Volume Intensity,0
2018-09-26,Volume Intensity,0
2018-09-27,Volume Intensity,0
2018-09-28,Volume Intensity,0
2018-09-29,Volume Intensity,0
2018-09-30,Volume Intensity,0
2018-10-01,Volume Intensity,0
2018-10-02,Volume Intensity,0
2018-10-03,Volume Intensity,0
2018-10-04,Volume Intensity,0
2018-10-05,Volume Intensity,0
2018-10-06,Volume Intensity,0
2018-10-07,Volume Intensity,0
2018-10-08,Volume Intensity,0
2018-10-09,Volume Intensity,0.0005
2018-10-10,Volume Intensity,0
2018-10-11,Volume Intensity,0
2018-10-12,Volume Intensity,0
2018-10-13,Volume Intensity,0
2018-10-14,Volume Intensity,0
2018-10-15,Volume Intensity,0
2018-10-16,Volume Intensity,0
2018-10-17,Volume Intensity,0.0005
2018-10-18,Volume Intensity,0
2018-10-19,Volume Intensity,0
2018-10-20,Volume Intensity,0
2018-10-21,Volume Intensity,0
2018-10-22,Volume Intensity,0
2018-10-23,Volume Intensity,0
2018-10-24,Volume Intensity,0
2018-10-25,Volume Intensity,0
2018-10-26,Volume Intensity,0
2018-10-27,Volume Intensity,0
2018-10-28,Volume Intensity,0
2018-10-29,Volume Intensity,0
2018-10-30,Volume Intensity,0
2018-10-31,Volume Intensity,0
2018-11-01,Volume Intensity,0
2018-11-02,Volume Intensity,0
2018-11-03,Volume Intensity,0
2018-11-04,Volume Intensity,0
2018-11-05,Volume Intensity,0.0002
2018-11-06,Volume Intensity,0.0005
2018-11-07,Volume Intensity,0
2018-11-08,Volume Intensity,0
2018-11-09,Volume Intensity,0
2018-11-10,Volume Intensity,0
2018-11-11,Volume Intensity,0
2018-11-12,Volume Intensity,0
2018-11-13,Volume Intensity,0
2018-11-14,Volume Intensity,0
2018-11-15,Volume Intensity,0
2018-11-16,Volume Intensity,0
2018-11-17,Volume Intensity,0
2018-11-18,Volume Intensity,0
2018-11-19,Volume Intensity,0
2018-11-20,Volume Intensity,0
2018-11-21,Volume Intensity,0
2018-11-22,Volume Intensity,0
2018-11-23,Volume Intensity,0
2018-11-24,Volume Intensity,0
2018-11-25,Volume Intensity,0
2018-11-26,Volume Intensity,0
2018-11-27,Volume Intensity,0
2018-11-28,Volume Intensity,0
2018-11-29,Volume Intensity,0
2018-11-30,Volume Intensity,0
2018-12-01,Volume Intensity,0
2018-12-02,Volume Intensity,0
2018-12-03,Volume Intensity,0
2018-12-04,Volume Intensity,0
2018-12-05,Volume Intensity,0
2018-12-06,Volume Intensity,0
2018-12-07,Volume Intensity,0
2018-12-08,Volume Intensity,0
2018-12-09,Volume Intensity,0
2018-12-10,Volume Intensity,0
2018-12-11,Volume Intensity,0
2018-12-12,Volume Intensity,0
2018-12-13,Volume Intensity,0
2018-12-14,Volume Intensity,0
2018-12-15,Volume Intensity,0
2018-12-16,Volume Intensity,0
2018-12-17,Volume Intensity,0
2018-12-18,Volume Intensity,0
2018-12-19,Volume Intensity,0
2018-12-20,Volume Intensity,0
2018-12-21,Volume Intensity,0
2018-12-22,Volume Intensity,0
2018-12-23,Volume Intensity,0
2018-12-24,Volume Intensity,0
2018-12-25,Volume Intensity,0.0003
2018-12-26,Volume Intensity,0.0003
2018-12-27,Volume Intensity,0.0004
2018-12-28,Volume Intensity,0
2018-12-29,Volume Intensity,0.0003
2018-12-30,Volume Intensity,0
2018-12-31,Volume Intensity,0
2019-01-01,Volume Intensity,0
2019-01-02,Volume Intensity,0
2019-01-03,Volume Intensity,0
2019-01-04,Volume Intensity,0
2019-01-05,Volume Intensity,0
2019-01-06,Volume Intensity,0
2019-01-07,Volume Intensity,0
2019-01-08,Volume Intensity,0
2019-01-09,Volume Intensity,0
2019-01-10,Volume Intensity,0
2019-01-11,Volume Intensity,0
2019-01-12,Volume Intensity,0
2019-01-13,Volume Intensity,0
2019-01-14,Volume Intensity,0
2019-01-15,Volume Intensity,0
2019-01-16,Volume Intensity,0
2019-01-17,Volume Intensity,0
2019-01-18,Volume Intensity,0.0002
2019-01-19,Volume Intensity,0
2019-01-20,Volume Intensity,0
2019-01-21,Volume Intensity,0
2019-01-22,Volume Intensity,0
2019-01-23,Volume Intensity,0
2019-01-24,Volume Intensity,0
2019-01-25,Volume Intensity,0
2019-01-26,Volume Intensity,0
2019-01-27,Volume Intensity,0
2019-01-28,Volume Intensity,0
2019-01-29,Volume Intensity,0
2019-01-30,Volume Intensity,0.0002
2019-01-31,Volume Intensity,0
2019-02-01,Volume Intensity,0
2019-02-02,Volume Intensity,0
2019-02-03,Volume Intensity,0
2019-02-04,Volume Intensity,0
2019-02-05,Volume Intensity,0
2019-02-06,Volume Intensity,0
2019-02-07,Volume Intensity,0
2019-02-08,Volume Intensity,0
2019-02-09,Volume Intensity,0
2019-02-10,Volume Intensity,0
2019-02-11,Volume Intensity,0
2019-02-12,Volume Intensity,0
2019-02-13,Volume Intensity,0
2019-02-14,Volume Intensity,0.0003
2019-02-15,Volume Intensity,0
2019-02-16,Volume Intensity,0.0003
2019-02-17,Volume Intensity,0
2019-02-18,Volume Intensity,0
2019-02-19,Volume Intensity,0.0002
2019-02-20,Volume Intensity,0
2019-02-21,Volume Intensity,0
2019-02-22,Volume Intensity,0
2019-02-23,Volume Intensity,0
2019-02-24,Volume Intensity,0
2019-02-25,Volume Intensity,0.0002
2019-02-26,Volume Intensity,0
2019-02-27,Volume Intensity,0
2019-02-28,Volume Intensity,0
2019-03-01,Volume Intensity,0.0002
2019-03-02,Volume Intensity,0
2019-03-03,Volume Intensity,0
2019-03-04,Volume Intensity,0
2019-03-05,Volume Intensity,0
2019-03-06,Volume Intensity,0
2019-03-07,Volume Intensity,0
2019-03-08,Volume Intensity,0
2019-03-09,Volume Intensity,0
2019-03-10,Volume Intensity,0
2019-03-11,Volume Intensity,0
2019-03-12,Volume Intensity,0
2019-03-13,Volume Intensity,0
2019-03-14,Volume Intensity,0
